Switzerland,1,5,14,7,10,31,19,2,13,7
Canada,2,6,16,2,11,40,37,3,12,1
Japan,3,2,34,17,6,10,5,25,7,14
Germany,4,1,50,10,15,19,41,17,4,10
Australia,5,9,10,8,8,27,16,14,15,5
United Kingdom,6,4,36,11,5,12,49,27,5,12
United States,7,3,33,15,4,18,26,45,1,15
Sweden,8,7,20,1,14,33,47,7,20,3
Netherlands,9,10,13,4,12,24,39,6,21,6
Norway,10,13,23,3,21,48,23,10,23,4
New Zealand,11,18,7,9,17,37,13,13,29,8
France,12,15,12,13,2,4,44,29,6,16
Denmark,13,14,30,5,19,41,51,4,26,2
Finland,14,16,27,6,26,43,32,9,35,9
China,15,11,54,31,16,11,3,21,3,19
Singapore,16,12,25,21,9,22,7,5,22,20
Italy,17,20,2,18,1,1,21,36,17,21
Austria,18,17,22,12,25,20,59,15,27,11
Spain,19,21,3,16,3,2,38,28,19,18
South Korea,20,8,55,24,20,30,11,31,9,23
Luxembourg,21,19,45,14,27,55,56,1,30,13
United Arab Emirates,22,23,63,38,22,63,1,67,11,25
Russia,23,22,48,39,28,15,12,73,2,34
Portugal,24,25,6,19,23,8,57,22,41,17
India,25,27,40,51,30,6,2,35,14,30
Thailand,26,36,5,46,18,9,6,8,49,28
Greece,27,32,4,23,13,3,20,46,43,26
Brazil,28,34,1,30,7,14,9,59,24,52
Israel,29,24,69,32,44,28,15,62,8,46
Qatar,30,28,71,50,35,73,8,55,18,36
Saudi Arabia,31,30,73,58,40,50,10,72,10,42
Malaysia,32,33,29,45,38,32,22,12,58,27
Mexico,33,38,11,41,24,5,24,53,37,39
Poland,34,26,42,20,47,25,70,32,42,22
Turkey,35,31,21,43,29,7,27,63,16,37
Egypt,36,52,39,65,32,13,4,69,25,54
Czech Republic,37,29,41,22,48,34,62,43,56,24
Costa Rica,38,59,8,42,33,46,29,16,66,43
South Africa,39,35,26,37,37,26,17,61,32,56
Morocco,40,58,31,64,36,17,14,40,57,50
Indonesia,41,44,35,59,43,29,28,24,40,32
Argentina,42,42,9,28,31,16,31,66,46,59
Vietnam,43,43,38,63,49,21,30,19,31,33
Croatia,44,37,19,25,34,35,54,37,67,29
Philippines,45,46,17,52,41,42,40,18,51,31
Chile,46,49,24,34,46,36,43,34,64,41
Peru,47,65,28,54,42,23,25,30,59,51
Sri Lanka,48,61,43,67,51,47,18,20,53,55
Dominican Republic,49,66,15,47,39,52,35,23,63,48
Panama,50,51,32,44,52,59,50,11,62,58
Colombia,51,55,18,48,45,39,46,56,48,53
Slovakia,52,39,57,27,59,54,66,41,69,40
Kenya,53,63,47,62,53,60,34,51,52,57
Romania,54,53,44,40,50,38,65,48,65,38
Estonia,55,40,60,26,61,62,73,26,72,45
Slovenia,56,41,51,29,60,58,72,39,73,44
Myanmar,57,69,62,73,66,66,33,54,47,62
Bulgaria,58,54,52,36,64,53,67,47,68,35
Lithuania,59,47,61,35,70,64,71,33,70,47
Bolivia,60,73,49,53,63,57,45,49,54,60
Azerbaijan,61,64,66,60,69,69,36,57,45,69
Latvia,62,48,59,33,68,68,69,42,71,49
Ecuador,63,67,37,55,55,56,53,52,60,63
Jordan,64,60,64,66,58,44,48,58,33,72
Guatemala,65,72,56,61,73,65,52,44,50,64
Kazakhstan,66,71,70,70,72,70,42,65,36,67
Ghana,67,68,68,69,62,71,58,38,55,65
Ukraine,68,45,46,49,56,51,63,71,28,71
Tunisia,69,70,53,72,54,49,61,50,61,61
Belarus,70,50,58,56,67,67,60,70,34,68
Oman,71,57,72,68,65,72,55,64,39,66
Serbia,72,56,65,57,71,61,68,60,44,70
Lebanon,73,62,67,71,57,45,64,68,38,73
